Объём выборки;Относительная частота мальчика
10000;0.5176
10000;0.5105
10000;0.509
10000;0.5174
10000;0.5212
10000;0.5186
10000;0.5148
10000;0.5188
10000;0.5171
10000;0.5093
10000;0.5213
10000;0.5166
10000;0.507
10000;0.5047
10000;0.5158
10000;0.5129
10000;0.5146
10000;0.5075
10000;0.5124
10000;0.5127
10000;0.5161
10000;0.5087
10000;0.5138
10000;0.5155
10000;0.5106
10000;0.509
10000;0.5173
10000;0.5158
10000;0.5115
10000;0.5143
10000;0.5161
10000;0.5092
10000;0.5161
10000;0.5111
10000;0.5083
10000;0.5185
10000;0.5103
10000;0.5111
10000;0.5165
10000;0.5157
10000;0.5058
10000;0.5104
10000;0.5122
10000;0.5152
10000;0.5077
10000;0.5141
10000;0.5293
10000;0.5178
10000;0.514
10000;0.5062
10000;0.5189
10000;0.512
10000;0.5166
10000;0.51
10000;0.5137
10000;0.5178
10000;0.5256
10000;0.5078
10000;0.5075
10000;0.5226
10000;0.5209
10000;0.5165
10000;0.5117
10000;0.5145
10000;0.512
10000;0.5124
10000;0.5154
10000;0.5244
10000;0.5089
10000;0.5119
10000;0.5163
10000;0.5127
10000;0.5142
10000;0.5064
10000;0.5172
10000;0.5118
10000;0.5095
10000;0.5093
10000;0.5117
10000;0.5068
10000;0.5194
10000;0.515
10000;0.5118
10000;0.5167
10000;0.5147
10000;0.5101
10000;0.5136
10000;0.5046
10000;0.503
10000;0.5043
10000;0.5109
10000;0.515
10000;0.5207
10000;0.516
10000;0.5139
10000;0.5087
10000;0.5123
10000;0.5083
10000;0.5145
10000;0.5141
1000;0.521
1000;0.527
1000;0.488
1000;0.521
1000;0.524
1000;0.519
1000;0.529
1000;0.521
1000;0.503
1000;0.517
1000;0.506
1000;0.513
1000;0.54
1000;0.521
1000;0.525
1000;0.506
1000;0.505
1000;0.511
1000;0.483
1000;0.516
1000;0.529
1000;0.502
1000;0.508
1000;0.52
1000;0.536
1000;0.506
1000;0.513
1000;0.516
1000;0.528
1000;0.52
1000;0.502
1000;0.519
1000;0.523
1000;0.518
1000;0.527
1000;0.494
1000;0.514
1000;0.529
1000;0.523
1000;0.509
1000;0.506
1000;0.51
1000;0.502
1000;0.483
1000;0.513
1000;0.505
1000;0.517
1000;0.517
1000;0.514
1000;0.521
1000;0.499
1000;0.477
1000;0.501
1000;0.518
1000;0.528
1000;0.497
1000;0.508
1000;0.489
1000;0.51
1000;0.504
1000;0.487
1000;0.507
1000;0.488
1000;0.497
1000;0.51
1000;0.517
1000;0.531
1000;0.509
1000;0.501
1000;0.519
1000;0.496
1000;0.529
1000;0.499
1000;0.519
1000;0.51
1000;0.507
1000;0.505
1000;0.486
1000;0.534
1000;0.505
1000;0.484
1000;0.478
1000;0.498
1000;0.499
1000;0.517
1000;0.505
1000;0.501
1000;0.505
1000;0.513
1000;0.529
1000;0.538
1000;0.54
1000;0.513
1000;0.53
1000;0.514
1000;0.527
1000;0.518
1000;0.488
1000;0.516
1000;0.502
100;0.61
100;0.53
100;0.57
100;0.52
100;0.51
100;0.47
100;0.52
100;0.52
100;0.45
100;0.53
100;0.57
100;0.5
100;0.5
100;0.56
100;0.59
100;0.55
100;0.49
100;0.48
100;0.6
100;0.52
100;0.48
100;0.53
100;0.59
100;0.54
100;0.43
100;0.54
100;0.47
100;0.5
100;0.5
100;0.58
100;0.44
100;0.47
100;0.46
100;0.51
100;0.47
100;0.61
100;0.58
100;0.49
100;0.5
100;0.55
100;0.53
100;0.53
100;0.51
100;0.5
100;0.47
100;0.43
100;0.52
100;0.52
100;0.44
100;0.53
100;0.51
100;0.49
100;0.56
100;0.47
100;0.48
100;0.58
100;0.54
100;0.57
100;0.53
100;0.47
100;0.5
100;0.49
100;0.52
100;0.42
100;0.52
100;0.47
100;0.51
100;0.57
100;0.52
100;0.49
100;0.49
100;0.51
100;0.46
100;0.48
100;0.61
100;0.49
100;0.44
100;0.5
100;0.47
100;0.45
100;0.52
100;0.51
100;0.58
100;0.57
100;0.43
100;0.48
100;0.45
100;0.47
100;0.46
100;0.54
100;0.5
100;0.53
100;0.51
100;0.49
100;0.47
100;0.45
100;0.53
100;0.51
100;0.42
100;0.44
10;0.7
10;0.6
10;0.4
10;0.5
10;0.5
10;0.7
10;0.2
10;0.4
10;0.5
10;0.5
10;0.6
10;0.7
10;0.5
10;0.6
10;0.7
10;0.7
10;0.4
10;0.8
10;0.2
10;0.4
10;0.7
10;0.5
10;0.8
10;0.8
10;0.7
10;0.8
10;0.6
10;0.4
10;0.7
10;0.3
10;0.5
10;0.5
10;0.3
10;0.6
10;0.5
10;0.7
10;0.4
10;0.6
10;0.5
10;0.5
10;0.3
10;0.6
10;0.3
10;0.3
10;0.7
10;0.5
10;0.5
10;0.3
10;0.7
10;0.4
10;0.3
10;0.3
10;0.5
10;0.8
10;0.5
10;0.4
10;0.6
10;0.6
10;0.7
10;0.6
10;0.0
10;0.5
10;0.5
10;0.5
10;0.5
10;0.5
10;0.5
10;0.6
10;0.5
10;0.6
10;0.5
10;0.4
10;0.6
10;0.6
10;0.3
10;0.6
10;0.7
10;0.6
10;0.6
10;0.5
10;0.5
10;0.3
10;0.5
10;0.6
10;0.5
10;0.3
10;0.1
10;0.6
10;0.8
10;0.4
10;0.7
10;0.8
10;0.8
10;0.7
10;0.6
10;0.1
10;0.3
10;0.8
10;0.6
10;0.5
